Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Find a BOTOX® (onabotulinumtoxinA) Specialist Near Me,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/find-a-botox-specialist,header_primary_navigation,default,templateIds: tpl_2
Find a BOTOX® (onabotulinumtoxinA) Specialist Near Me,main region 0,Major content region in main (div). Preview: Find a BOTOX® Specialist Near Me Find a doctor near you who is experienced with BOTOX® therapy and can help treat your C…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/find-a-botox-specialist,main_region_0,default,templateIds: tpl_2
Find a BOTOX® (onabotulinumtoxinA) Specialist Near Me,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/find-a-botox-specialist,form_block_0,default,templateIds: tpl_2
Find a BOTOX® (onabotulinumtoxinA) Specialist Near Me,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/find-a-botox-specialist,site_footer,default,templateIds: tpl_2
Reviews and Stories | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/botox-reviews-and-stories,header_utility_strip,default,templateIds: tpl_3
Reviews and Stories | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/botox-reviews-and-stories,header_primary_navigation,default,templateIds: tpl_3
Reviews and Stories | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,main region 0,Major content region in main (div). Preview: HEAR WHAT PEOPLE ARE SAYING ABOUT BOTOX® FOR CERVICAL DYSTONIA Real patients share their personal journeys from diagnosi…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/botox-reviews-and-stories,main_region_0,default,templateIds: tpl_3
Reviews and Stories | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/botox-reviews-and-stories,form_block_0,default,templateIds: tpl_3
Reviews and Stories | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/botox-reviews-and-stories,site_footer,default,templateIds: tpl_3
FDA Approved BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/why-botox,header_utility_strip,default,templateIds: tpl_4
FDA Approved BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/why-botox,header_primary_navigation,default,templateIds: tpl_4
FDA Approved BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,main region 0,Major content region in main (div). Preview: PROVEN EFFECTIVE FOR CERVICAL DYSTONIA Doctors have been using BOTOX® to treat Cervical Dystonia since it was FDA approv…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/why-botox,main_region_0,default,templateIds: tpl_4
FDA Approved BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/why-botox,form_block_0,default,templateIds: tpl_4
FDA Approved BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/why-botox,site_footer,default,templateIds: tpl_4
Cost and Savings | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/savings-and-support,header_utility_strip,default,templateIds: tpl_5
Cost and Savings | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/savings-and-support,header_primary_navigation,default,templateIds: tpl_5
Cost and Savings | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,main region 0,"Major content region in main (div). Preview: FOR SUPPORT, LEARN ABOUT OUR BOTOX® SAVINGS PROGRAM You may pay as little as $0* for out-of-pocket costs not covered by …",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/savings-and-support,main_region_0,default,templateIds: tpl_5
Cost and Savings | BOTOX® (onabotulinumtoxinA) for Cervical Dystonia,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/savings-and-support,site_footer,default,templateIds: tpl_5
What is Cervical Dystonia? | BOTOX® (onabotulinumtoxinA),Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/about-cervical-dystonia,header_utility_strip,default,templateIds: tpl_6
What is Cervical Dystonia? | BOTOX® (onabotulinumtoxinA),Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/about-cervical-dystonia,header_primary_navigation,default,templateIds: tpl_6
What is Cervical Dystonia? | BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: WHAT IS CERVICAL DYSTONIA? Cervical Dystonia is a condition in which the muscles in your neck tighten or spasm without y…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/about-cervical-dystonia,main_region_0,default,templateIds: tpl_6
What is Cervical Dystonia? | BOTOX® (onabotulinumtoxinA),Form / subscription,"Email capture, subscribe, or lead form (may include captcha).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/about-cervical-dystonia,form_block_0,default,templateIds: tpl_6
What is Cervical Dystonia? | BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/about-cervical-dystonia,site_footer,default,templateIds: tpl_6
Search Results,Global utility bar,"Top utility links (contact, subscribe, language, group sites) above primary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/search-results,header_utility_strip,default,templateIds: tpl_7
Search Results,Primary site header and navigation,"Branding, primary IA, and navigation (may include mega-menu or mobile patterns).",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/search-results,header_primary_navigation,default,templateIds: tpl_7
Search Results,Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxcervicaldystonia.com/search-results,site_footer,default,templateIds: tpl_7
